Temperature,E,Esquared,E4,C1,C2,C12,C3,Cv,V
0.01,-150,22500,5.0625e+08,1,1,1,1,0,0.666667
0.02,-150,22500,5.0625e+08,1,1,1,1,0,0.666667
0.03,-150,22500,5.0625e+08,1,1,1,1,0,0.666667
0.04,-150,22500,5.0625e+08,1,1,1,1,0,0.666667
0.05,-150,22500,5.0625e+08,1,1,1,1,0,0.666667
0.06,-150,22500,5.0625e+08,1,1,1,1,0,0.666667
0.07,-150,22500,5.0625e+08,1,1,1,1,0,0.666667
0.08,-150,22500,5.0625e+08,1,1,1,1,0,0.666667
0.09,-150,22500,5.0625e+08,1,1,1,1,0,0.666667
0.1,-150,22499.9,5.06247e+08,1,1,1,0.999995,0.0259932,0.666667
0.11,-150,22500,5.06249e+08,1,1,1,0.999999,0.00495838,0.666667
0.12,-149.994,22498.3,5.06175e+08,1,1,1,0.999888,0.385338,0.666666
0.13,-149.998,22499.4,5.06222e+08,1,1,1,0.999958,0.123999,0.666667
0.14,-149.99,22497,5.06115e+08,1,1,1,0.999798,0.543754,0.666666
0.15,-149.97,22490.9,5.05845e+08,1,0.99996,0.99998,0.999434,1.48803,0.666665
0.16,-149.953,22486,5.05625e+08,1,1,1,0.999064,1.82069,0.666664
0.17,-149.883,22464.9,5.04689e+08,0.999529,0.99954,0.999534,0.998582,5.95097,0.666657
0.18,-149.883,22465,5.04688e+08,0.999899,0.999957,0.999928,0.997802,4.14624,0.666659
0.19,-149.846,22454.1,5.04203e+08,0.999895,0.999816,0.999855,0.997218,4.6986,0.666657
0.2,-149.793,22438.1,5.03491e+08,0.9998,0.999669,0.999734,0.996387,6.0787,0.666652
0.21,-149.687,22406.6,5.02091e+08,0.999456,0.999344,0.9994,0.994938,9.19429,0.666643
0.22,-149.652,22396,5.01622e+08,0.999233,0.999232,0.999232,0.994567,9.17073,0.66664
0.23,-149.482,22345.4,4.99377e+08,0.999018,0.998682,0.99885,0.99193,12.7467,0.666627
0.24,-149.235,22272.2,4.96157e+08,0.997608,0.99754,0.997574,0.98955,20.6195,0.666596
0.25,-148.903,22174,4.91844e+08,0.995104,0.995156,0.99513,0.987809,28.5923,0.66656
0.26,-148.503,22055.6,4.86665e+08,0.992947,0.992696,0.992822,0.984418,36.4306,0.66652
0.27,-148.536,22065.1,4.87053e+08,0.99421,0.994048,0.994129,0.982464,29.04,0.66654
0.28,-148.021,21913.4,4.80471e+08,0.990876,0.99088,0.990878,0.978666,40.1956,0.666477
0.29,-147.994,21905.2,4.80108e+08,0.992056,0.991994,0.992025,0.975825,36.6942,0.666481
0.3,-147.223,21678.9,4.70355e+08,0.98797,0.987844,0.987907,0.968639,49.1836,0.666398
0.31,-146.621,21503.9,4.6295e+08,0.984094,0.983811,0.983953,0.964511,65.2188,0.666284
0.32,-145.628,21214.3,4.50621e+08,0.977272,0.977098,0.977185,0.958187,66.8221,0.666241
0.33,-144.801,20975.9,4.40703e+08,0.97188,0.972119,0.972,0.952014,79.316,0.666124
