Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-3.0,900.0,0.666667,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.02,-2.99995,899.971,0.666667,1.0,0.0,1.0,0.0,1.0,0.0,0.199079
0.03,-2.99959,899.752,0.666666,1.0,0.0,1.0,0.0,1.0,0.0,0.77959
0.04,-2.99876,899.256,0.666664,1.0,0.0,1.0,0.0,1.0,0.0,1.24874
0.05,-2.9969200000000003,898.155,0.666659,1.0,0.0,1.0,0.0,1.0,0.0,2.09469
0.06,-2.99489,896.945,0.666654,1.0,0.0,1.0,0.0,1.0,0.0,2.43222
0.07,-2.99252,895.53,0.666648,1.0,0.0,1.0,0.0,1.0,0.0,2.55373
0.08,-2.98929,893.605,0.666641,1.0,0.0,1.0,0.0,1.0,0.0,2.73016
0.09,-2.98692,892.19,0.666635,1.0,0.0,1.0,0.0,1.0,0.0,2.63714
0.1,-2.98419,890.563,0.666627,1.0,0.0,1.0,0.0,1.0,0.0,2.66739
0.11,-2.98205,889.295,0.666619,1.0,0.0,1.0,0.0,0.9999499999999999,4.9974999999999995e-05,2.64866
0.12,-2.97907,887.526,0.666611,1.0,0.0,0.9999,9.990000000000002e-05,1.0,0.0,2.59861
0.13,-2.97626,885.852,0.666603,0.9999,9.990000000000002e-05,1.0,0.0,0.9999499999999999,4.9974999999999995e-05,2.50843
0.14,-2.97286,883.844,0.666586,0.9998699999999999,0.000129831,0.999887,0.000112373,0.999638,0.000361186,2.76631
0.15,-2.96937,881.79,0.666559,0.999382,0.000613687,0.9997999999999999,0.0001996,0.9996069999999999,0.000390959,3.20429
0.16,-2.96481,879.114,0.666511,0.99978,0.00021951599999999998,0.9992749999999999,0.000719744,0.996293,0.00357004,4.09436
0.17,-2.8764700000000003,827.734,0.666153,0.999295,0.00070003,0.9987830000000001,0.00120268,0.954428,0.034349000000000005,11.2205
0.18,-2.9412700000000003,865.396,0.666232,0.998757,0.0012270599999999999,0.9982150000000001,0.00185314,0.980005,0.017987,8.94357
0.19,-2.91301,848.969,0.666045,0.9983650000000001,0.0016082699999999998,0.998028,0.00203359,0.964555,0.0293015,11.1911
0.2,-2.89478,838.643,0.665638,0.996872,0.0033096899999999997,0.997222,0.00280035,0.9457700000000001,0.0568611,16.743
0.21,-2.86955,824.228,0.665408,0.9955719999999999,0.00433147,0.9958880000000001,0.00430337,0.929487,0.0660024,18.0705
0.22,-2.8375,806.283,0.664846,0.994605,0.00530894,0.990498,0.009499520000000001,0.9140650000000001,0.0932018,23.6461
0.23,-2.82178,797.385,0.664818,0.993098,0.0068610500000000005,0.99244,0.00784846,0.89313,0.094468,21.5167
0.24,-2.78736,778.756,0.663668,0.98849,0.0132152,0.989702,0.0116121,0.869355,0.14049899999999999,31.5722
0.25,-2.71993,742.786,0.661619,0.98486,0.016162799999999998,0.986463,0.0145649,0.8148880000000001,0.25824600000000003,47.7246
0.26,-2.68315,722.82,0.661554,0.9795349999999999,0.0233468,0.982235,0.018879,0.789248,0.256686,42.7906
