Temperature,E,Esquared,C1,C2,C3,Cv
0.01,-60.0,3600.0,1.0,1.0,1.0,0.0
0.02,-60.0,3600.0,1.0,1.0,1.0,0.0
0.03,-60.0,3600.0,1.0,1.0,1.0,0.0
0.04,-60.0,3600.0,1.0,1.0,1.0,0.0
0.05,-60.0,3600.0,1.0,1.0,1.0,0.0
0.06,-60.0,3600.0,1.0,1.0,1.0,0.0
0.07,-60.0,3600.0,1.0,1.0,1.0,0.0
0.08,-60.0,3600.0,1.0,1.0,1.0,0.0
0.09,-60.0,3600.0,1.0,1.0,1.0,0.0
0.1,-59.9995,3599.94,1.0,1.0,0.9999750000000001,0.049975
0.11,-59.9996,3599.95,1.0,1.0,0.9999800000000001,0.035109
0.12,-59.998,3599.76,1.0,1.0,0.9999,0.14034
0.13,-59.9958,3599.49,1.0,1.0,0.99979,0.250411
0.14,-59.9929,3599.15,1.0,0.9999750000000001,0.9996700000000001,0.411951
0.15,-59.9858,3598.31,0.9999750000000001,1.0,0.999315,0.684403
0.16,-59.9747,3596.99,0.9999750000000001,1.0,0.9987600000000001,1.00532
0.17,-59.9687,3596.27,1.0,0.9999499999999999,0.998485,1.16022
0.18,-59.9465,3593.65,0.99985,0.9998849999999999,0.99759,2.04025
0.19,-59.9306,3591.76,0.999725,0.999775,0.99703,2.29802
0.2,-59.9138,3589.77,0.99968,0.999725,0.996285,2.57695
0.21,-59.8699,3584.59,0.999125,0.9990249999999999,0.99535,4.07361
0.22,-59.8327,3580.19,0.99889,0.9988849999999999,0.9938650000000001,4.84681
0.23,-59.7777,3573.7,0.998265,0.9981949999999999,0.9924250000000001,6.25689
0.24,-59.6846,3562.72,0.997225,0.996885,0.9901199999999999,8.27763
0.25,-59.6175,3554.81,0.99688,0.996745,0.987245,9.02044
0.26,-59.5214,3543.53,0.995755,0.995665,0.98465,10.8172
0.27,-59.4184,3531.48,0.9937250000000001,0.9940599999999999,0.9831350000000001,12.8209
0.28,-59.228,3509.24,0.991545,0.992335,0.977515,16.3834
0.29,-59.0489,3488.44,0.9890100000000001,0.9888600000000001,0.9745799999999999,19.801
0.3,-58.8657,3467.36,0.9862399999999999,0.98629,0.97075,24.3108
0.31,-58.5736,3433.53,0.982375,0.982465,0.96384,27.7522
0.32,-58.1731,3387.48,0.97553,0.9759550000000001,0.95717,32.8465
0.33,-57.9582,3362.95,0.97278,0.97377,0.95136,34.8574
0.34,-57.5824,3320.23,0.967295,0.96663,0.945195,38.8763
0.35,-57.2905,3287.38,0.963875,0.9642200000000001,0.93643,42.2675
0.36,-56.7929,3231.51,0.955925,0.9567349999999999,0.92699,46.8529
0.37,-56.3083,3178.03,0.94959,0.95035,0.91547,54.0968
0.38,-55.4798,3087.61,0.9358150000000001,0.935335,0.90284,66.4818
0.39,-54.9679,3031.9,0.928825,0.9281599999999999,0.8914099999999999,68.599
0.4,-54.3763,2968.56,0.9190950000000001,0.9197850000000001,0.87994,73.5693
0.41,-53.053,2829.19,0.89901,0.8999599999999999,0.8536849999999999,86.657
0.42,-52.7781,2800.01,0.8953749999999999,0.89692,0.8466049999999999,82.1378
0.43,-51.7519,2696.36,0.87937,0.882655,0.8255750000000001,97.8482
0.44,-50.4269,2563.15,0.86154,0.8624750000000001,0.79733,104.726
0.45,-49.5366,2475.55,0.846705,0.84681,0.783315,107.052
0.46,-48.3554,2361.84,0.8304750000000001,0.830245,0.75705,111.469
0.47,-47.4934,2283.34,0.8182499999999999,0.81715,0.73927,125.444
0.48,-45.7407,2127.72,0.7912600000000001,0.78818,0.7075899999999999,154.115
0.49,-44.3427,1999.83,0.77053,0.77204,0.6745650000000001,139.778
0.5,-42.3052,1830.18,0.7384350000000001,0.738985,0.63784,161.803
0.51,-40.7135,1699.58,0.7127749999999999,0.7165199999999999,0.6063799999999999,161.418
0.52,-39.9398,1639.55,0.70584,0.705085,0.58606,164.052
0.53,-37.0174,1423.89,0.65904,0.659225,0.532605,190.837
0.54,-35.1512,1295.8,0.628895,0.632655,0.49600999999999995,206.427
0.55,-32.6529,1131.16,0.594175,0.5883499999999999,0.4501205,214.703
0.56,-31.8437,1085.42,0.57694,0.58299,0.432257,227.656
0.57,-26.5223,787.058,0.49288800000000005,0.4925625,0.3406635,257.391
0.58,-23.3639,633.194,0.43473949999999995,0.44360499999999997,0.28985249999999996,259.572
0.59,-23.8247,637.428,0.451736,0.445663,0.2938355,200.551
0.6,-16.9722,351.687,0.34199999999999997,0.327717,0.1788945,176.75
0.61,-18.5152,409.428,0.3535025,0.3607245,0.21153499999999997,179.022
0.62,-15.5063,295.304,0.30886,0.304298,0.16215649999999998,142.714
0.63,-14.4848,261.44,0.291722,0.2722315,0.1602845,130.089
0.64,-13.9804,239.719,0.279204,0.27891,0.140905,108.077
0.65,-12.9275,205.692,0.2641165,0.253433,0.1288265,91.2932
0.66,-11.2786,154.637,0.222634,0.22887050000000003,0.1124245,62.9719
0.67,-10.6792,141.712,0.21307800000000002,0.2135395,0.107344,61.6307
