Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-20.0,400.0,0.666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.02,-54.9998,3024.98,0.666667,0.85,0.0,0.9,0.0,1.0,0.0,0.0875629
0.03,-54.9957,3024.53,0.666666,0.85,0.0,0.9,0.0,1.0,0.0,0.800315
0.04,-54.9796,3022.76,0.666665,0.85,0.0,0.9,0.0,1.0,0.0,2.20112
0.05,-54.9498,3019.49,0.666663,0.85,0.0,0.9,0.0,1.0,0.0,3.57431
0.06,-55.8956,3124.34,0.666659,0.9,0.0,0.9,0.0,1.0,0.0,4.71934
0.07,-56.6641,3211.82,0.666248,0.92065,0.01212155,0.92065,0.01212155,1.0,0.0,204.588
0.08,-57.7847,3339.11,0.666653,0.95,0.0,0.95,0.0,1.0,0.0,5.36101
0.09,-57.7337,3333.23,0.666649,0.95,0.0,0.95,0.0,0.999995,4.9995e-06,5.406
0.1,-57.6813,3327.19,0.666644,0.949935,6.4292e-05,0.949975,2.4987499999999998e-05,0.99996,4.121595e-05,5.73616
0.11,-57.6158,3319.65,0.66664,0.95,0.0,0.95,0.0,0.99992,8.1741e-05,5.45303
0.12,-57.568,3314.15,0.666635,0.94995,4.995000000000001e-05,0.949975,2.4987499999999998e-05,0.99983,0.000171284,5.46306
0.13,-57.4973,3306.06,0.66662,0.9498749999999999,0.0001246875,0.94994,6.17985e-05,0.998935,0.001042315,6.93211
0.14,-57.4483,3300.43,0.666617,0.94995,4.995000000000001e-05,0.9498900000000001,0.000107891,0.998405,0.00154646,6.30818
0.15,-56.6288,3207.57,0.666362,0.94967,0.000327205,0.94955,0.00044594999999999997,0.9780599999999999,0.03384155,33.2953
0.16,-56.4817,3190.72,0.666442,0.9491949999999999,0.00079325,0.9497500000000001,0.00024998749999999997,0.9803850000000001,0.0170988,21.1337
0.17,-56.6907,3214.22,0.666507,0.94927,0.0007217699999999999,0.9489050000000001,0.00107917,0.984675,0.012713650000000002,13.4648
0.18,-56.2569,3165.61,0.66635,0.94891,0.001116835,0.9488049999999999,0.001165845,0.966585,0.030017300000000004,23.7666
0.19,-56.552,3198.7,0.666429,0.948345,0.001652555,0.94876,0.001257465,0.9751350000000001,0.01790965,15.9426
0.2,-56.0941,3147.49,0.666268,0.947255,0.0028926299999999998,0.94715,0.0028807449999999997,0.9612700000000001,0.0313544,23.775
0.21,-55.2398,3053.37,0.66584,0.9465600000000001,0.003454405,0.94252,0.008026,0.94228,0.07497899999999999,43.8297
0.22,-54.9272,3019.08,0.665756,0.94553,0.00452009,0.9433849999999999,0.0068147,0.92371,0.076142,43.0188
0.23,-54.7239,2996.84,0.665737,0.9432349999999999,0.0068784499999999995,0.94163,0.00842885,0.918585,0.08412349999999999,40.3736
