Temperature,E,Esquared,C1,C2,C3,Cv
0.01,-60,3600,20,20,20,0
0.02,-60,3600,20,20,20,0
0.03,-60,3600,20,20,20,0
0.04,-60,3600,20,20,20,0
0.05,-60,3600,20,20,20,0
0.06,-60,3600,20,20,20,0
0.07,-60,3600,20,20,20,0
0.08,-60,3600,20,20,20,0
0.09,-60,3600,20,20,20,0
0.1,-59.9995,3599.94,20,20,19.9995,0.049975
0.11,-59.9996,3599.95,20,20,19.9996,0.035109
0.12,-59.998,3599.76,20,20,19.998,0.14034
0.13,-59.9958,3599.49,20,20,19.9958,0.250411
0.14,-59.9929,3599.15,20,19.9995,19.9934,0.411951
0.15,-59.9858,3598.31,19.9995,20,19.9863,0.684403
0.16,-59.9747,3596.99,19.9995,20,19.9752,1.00532
0.17,-59.9687,3596.27,20,19.999,19.9697,1.16022
0.18,-59.9465,3593.65,19.997,19.9977,19.9518,2.04025
0.19,-59.9306,3591.76,19.9945,19.9955,19.9406,2.29802
0.2,-59.9138,3589.77,19.9936,19.9945,19.9257,2.57695
0.21,-59.8699,3584.59,19.9825,19.9805,19.907,4.07361
0.22,-59.8327,3580.19,19.9778,19.9777,19.8773,4.84681
0.23,-59.7777,3573.7,19.9653,19.9639,19.8485,6.25689
0.24,-59.6846,3562.72,19.9445,19.9377,19.8024,8.27763
0.25,-59.6175,3554.81,19.9376,19.9349,19.7449,9.02044
0.26,-59.5214,3543.53,19.9151,19.9133,19.693,10.8172
0.27,-59.4184,3531.48,19.8745,19.8812,19.6627,12.8209
0.28,-59.228,3509.24,19.8309,19.8467,19.5503,16.3834
0.29,-59.0489,3488.44,19.7802,19.7772,19.4916,19.801
0.3,-58.8657,3467.36,19.7248,19.7258,19.415,24.3108
0.31,-58.5736,3433.53,19.6475,19.6493,19.2768,27.7522
0.32,-58.1731,3387.48,19.5106,19.5191,19.1434,32.8465
0.33,-57.9582,3362.95,19.4556,19.4754,19.0272,34.8574
0.34,-57.5824,3320.23,19.3459,19.3326,18.9039,38.8763
0.35,-57.2905,3287.38,19.2775,19.2844,18.7286,42.2675
0.36,-56.7929,3231.51,19.1185,19.1347,18.5398,46.8529
0.37,-56.3083,3178.03,18.9918,19.007,18.3094,54.0968
0.38,-55.4798,3087.61,18.7163,18.7067,18.0568,66.4818
0.39,-54.9679,3031.9,18.5765,18.5632,17.8282,68.599
0.4,-54.3763,2968.56,18.3819,18.3957,17.5988,73.5693
0.41,-53.053,2829.19,17.9802,17.9992,17.0737,86.657
0.42,-52.7781,2800.01,17.9075,17.9384,16.9321,82.1378
0.43,-51.7519,2696.36,17.5874,17.6531,16.5115,97.8482
0.44,-50.4269,2563.15,17.2308,17.2495,15.9466,104.726
0.45,-49.5366,2475.55,16.9341,16.9362,15.6663,107.052
0.46,-48.3554,2361.84,16.6095,16.6049,15.141,111.469
0.47,-47.4934,2283.34,16.365,16.343,14.7854,125.444
0.48,-45.7407,2127.72,15.8252,15.7636,14.1518,154.115
0.49,-44.3427,1999.83,15.4106,15.4408,13.4913,139.778
0.5,-42.3052,1830.18,14.7687,14.7797,12.7568,161.803
0.51,-40.7135,1699.58,14.2555,14.3304,12.1276,161.418
0.52,-39.9398,1639.55,14.1168,14.1017,11.7212,164.052
0.53,-37.0174,1423.89,13.1808,13.1845,10.6521,190.837
0.54,-35.1512,1295.8,12.5779,12.6531,9.9202,206.427
0.55,-32.6529,1131.16,11.8835,11.767,9.00241,214.703
0.56,-31.8437,1085.42,11.5388,11.6598,8.64514,227.656
0.57,-26.5223,787.058,9.85776,9.85125,6.81327,257.391
0.58,-23.3639,633.194,8.69479,8.8721,5.79705,259.572
