Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-20,400,0.666667,0,0,0,0,20,0,0
0.02,-54.9998,3024.98,0.666667,17,0,18,0,20,0,0.0875629
0.03,-54.9957,3024.53,0.666666,17,0,18,0,20,0,0.800315
0.04,-54.9796,3022.76,0.666665,17,0,18,0,20,0,2.20112
0.05,-54.9498,3019.49,0.666663,17,0,18,0,20,0,3.57431
0.06,-55.8956,3124.34,0.666659,18,0,18,0,20,0,4.71934
0.07,-56.6641,3211.82,0.666248,18.413,0.242431,18.413,0.242431,20,0,204.588
0.08,-57.7847,3339.11,0.666653,19,0,19,0,20,0,5.36101
0.09,-57.7337,3333.23,0.666649,19,0,19,0,19.9999,9.999e-05,5.406
0.1,-57.6813,3327.19,0.666644,18.9987,0.00128584,18.9995,0.00049975,19.9992,0.000824319,5.73616
0.11,-57.6158,3319.65,0.66664,19,0,19,0,19.9984,0.00163482,5.45303
0.12,-57.568,3314.15,0.666635,18.999,0.000999,18.9995,0.00049975,19.9966,0.00342568,5.46306
0.13,-57.4973,3306.06,0.66662,18.9975,0.00249375,18.9988,0.00123597,19.9787,0.0208463,6.93211
0.14,-57.4483,3300.43,0.666617,18.999,0.000999,18.9978,0.00215782,19.9681,0.0309292,6.30818
0.15,-56.6288,3207.57,0.666362,18.9934,0.0065441,18.991,0.008919,19.5612,0.676831,33.2953
0.16,-56.4817,3190.72,0.666442,18.9839,0.015865,18.995,0.00499975,19.6077,0.341976,21.1337
0.17,-56.6907,3214.22,0.666507,18.9854,0.0144354,18.9781,0.0215834,19.6935,0.254273,13.4648
0.18,-56.2569,3165.61,0.66635,18.9782,0.0223367,18.9761,0.0233169,19.3317,0.600346,23.7666
0.19,-56.552,3198.7,0.666429,18.9669,0.0330511,18.9752,0.0251493,19.5027,0.358193,15.9426
0.2,-56.0941,3147.49,0.666268,18.9451,0.0578526,18.943,0.0576149,19.2254,0.627088,23.775
0.21,-55.2398,3053.37,0.66584,18.9312,0.0690881,18.8504,0.16052,18.8456,1.49958,43.8297
0.22,-54.9272,3019.08,0.665756,18.9106,0.0904018,18.8677,0.136294,18.4742,1.52284,43.0188
0.23,-54.7239,2996.84,0.665737,18.8647,0.137569,18.8326,0.168577,18.3717,1.68247,40.3736
0.24,-54.0312,2922.43,0.665294,18.8224,0.182975,18.8103,0.205373,17.6245,2.52402,53.19
0.25,-52.9916,2813.3,0.664289,18.6951,0.315651,18.6745,0.365241,17.1415,4.11536,83.113
0.26,-52.4993,2761.29,0.66426,18.6792,0.358719,18.6921,0.337643,16.6128,4.65623,75.5307
0.27,-51.5756,2667.99,0.662866,18.504,0.526209,18.6191,0.415927,15.8933,6.90535,109.071
0.28,-50.8706,2595.35,0.662867,18.2952,0.741242,18.5786,0.463441,15.3876,6.40042,96.0299
0.29,-49.5283,2463.95,0.660996,18.4401,0.604566,18.3084,0.80076,14.1954,10.3565,129.559
0.3,-48.3908,2352.01,0.660918,18.2917,0.763206,18.2734,0.797252,13.1911,9.68198,114.967
0.31,-47.1955,2245.05,0.656943,18.0676,1.09699,17.9042,1.36336,12.5548,17.2822,183.592
0.32,-46.0689,2140.37,0.65588,18.0972,0.989602,17.9488,1.2373,11.2552,17.3622,176.052
0.33,-42.6073,1833.78,0.65317,17.8821,1.27278,17.7923,1.24817,7.8057,18.3253,168.946
0.34,-40.3868,1648.6,0.651605,17.6885,1.46758,17.6262,1.57981,5.71564,16.9685,151.465
0.35,-38.8069,1516.9,0.656579,17.4979,1.58425,17.4015,1.75952,4.37172,9.64545,89.1413
0.36,-37.8753,1442.94,0.658704,17.2865,1.88609,17.3178,1.96606,3.65439,5.22146,64.8485
0.37,-38.2703,1477.08,0.65497,17.2288,2.21835,17.1222,2.16395,4.45078,10.9104,91.0444
0.38,-36.7497,1358.77,0.658526,16.9977,2.35173,17.0337,2.28051,3.03952,4.13246,56.9704
0.39,-36.2179,1318.97,0.659322,16.9025,2.49278,16.8531,2.43086,2.74081,2.82711,47.5426
0.4,-36.0508,1308.38,0.657783,16.6486,2.81574,16.7051,2.8203,3.03564,3.82194,54.4979
0.41,-35.3177,1254.86,0.658783,16.5234,2.79593,16.5629,3.04582,2.4969,2.19109,44.7274
0.42,-34.8541,1224.03,0.656623,16.2168,3.27856,16.184,3.38626,2.78675,3.31645,52.2598
0.43,-34.3053,1185.14,0.65766,16.1548,3.47404,16.1302,3.3978,2.24735,1.58179,44.8024
0.44,-33.8926,1157.07,0.657329,15.9359,3.58367,15.9354,3.55987,2.25549,1.32956,43.1522
0.45,-33.5291,1133.54,0.655975,15.6816,4.15846,15.768,3.91497,2.33235,1.87552,46.14
0.46,-32.9235,1094.65,0.654108,15.5349,4.31396,15.3835,4.6708,2.24693,1.69445,50.535
0.47,-32.6372,1075.91,0.653962,15.3281,4.60614,15.2158,4.8552,2.37581,2.23395,48.5374
0.48,-32.0101,1036.2,0.652434,15.0523,5.2252,15.0609,5.34402,2.13121,1.23547,50.1683
0.49,-31.4891,1004.19,0.650808,14.8459,5.28822,14.8376,5.81347,2.02724,1.27897,52.6015
0.5,-31.0834,978.501,0.650635,14.5932,5.724,14.6906,5.4478,2.01452,1.19536,49.2974
0.51,-30.6721,953.613,0.649539,14.5732,5.53087,14.3998,6.09401,1.89243,0.917778,49.3381
0.52,-30.2307,926.748,0.648918,14.2391,6.09751,14.2622,5.75273,1.93349,1.08614,47.5294
0.53,-29.4195,881.782,0.643763,13.8043,8.02058,13.8712,6.97643,1.96265,1.079,57.9324
0.54,-29.1061,861.615,0.645568,13.7697,6.51641,13.793,6.99497,1.70419,0.610007,49.5599
0.55,-28.5613,831.96,0.642356,13.3194,8.51699,13.5681,6.88863,1.88014,0.942745,53.602
0.56,-27.8628,795.189,0.638118,12.9159,9.89474,13.335,7.47419,1.79844,0.89511,60.1155
0.57,-27.5226,773.175,0.641027,12.99,7.52277,12.9587,7.98627,1.7712,0.946901,48.26
0.58,-26.943,745.777,0.634381,12.804,8.73953,12.588,9.92213,1.73569,0.839776,59.0063
0.59,-26.4706,719.076,0.634725,12.3096,9.01832,12.6639,8.52669,1.66399,0.645383,52.8046
0.6,-25.9347,691.692,0.63272,12.2386,9.23105,12.1276,9.72483,1.7701,0.877671,53.0079
0.61,-25.6867,679.607,0.631065,12.0382,9.89319,12.1703,8.94333,1.64271,0.625308,53.2063
0.62,-25.185,652.714,0.631131,11.8864,9.22323,11.8588,9.3395,1.59221,0.572497,47.9435
0.63,-24.3597,615.948,0.621795,11.5653,9.94391,11.3441,11.7139,1.61984,0.723664,56.8213
0.64,-24.0488,601.82,0.619356,11.3324,11.5781,11.2787,10.5893,1.5958,0.616697,57.3135
0.65,-23.5381,575.657,0.619501,11.0985,10.1908,11.0244,11.2044,1.56509,0.673989,51.1598
0.66,-22.7434,539.943,0.615193,10.7453,11.1371,10.5988,11.6097,1.54983,0.567367,52.0706
0.67,-22.3515,523.978,0.608574,10.3205,12.3151,10.6261,11.1922,1.55359,0.561178,54.3302
0.68,-21.5991,490.832,0.606197,9.99841,12.3553,10.2603,11.9079,1.47155,0.483341,52.5772
0.69,-21.424,483.727,0.602267,9.92264,12.2756,10.1225,11.9805,1.52879,0.574196,51.966
0.7,-20.6405,451.622,0.597476,9.64741,12.5639,9.63545,13.8943,1.50711,0.606649,52.2262
0.71,-20.4394,444.131,0.595867,9.59333,12.3517,9.50194,12.3833,1.4881,0.648783,52.291
