Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-40,1600,0.666667,20,0,0,0,20,0,0
0.02,-39.999,1599.92,0.666667,20,0,0,0,20,0,0.409878
0.03,-39.9824,1598.6,0.666664,20,0,0,0,20,0,3.5123
0.04,-39.9298,1594.4,0.666657,20,0,0,0,20,0,7.278
0.05,-40.8387,1667.83,0.666645,20,0,1,0,20,0,10.7961
0.06,-46.7053,2182.66,0.665897,20,0,6.972,1.18222,20,0,354.234
0.07,-52.1012,2715.41,0.666228,20,0,12.547,0.794791,20,0,179.263
0.08,-56.002,3137.04,0.666324,20,0,16.2275,0.694744,20,0,127.008
0.09,-56.7849,3224.56,0.666652,20,0,17,0,20,0,4.27455
0.1,-56.7441,3219.93,0.666649,20,0,17,0,19.9995,0.000449797,4.23848
0.11,-56.703,3215.28,0.666646,19.9995,0.00049975,17,0,19.999,0.000999,4.17012
0.12,-57.3038,3284.62,0.666299,19.9989,0.00107384,17.6735,0.887898,19.9974,0.00259324,62.1994
0.13,-58.5135,3423.93,0.666631,19.9978,0.00222005,18.994,0.005964,19.9969,0.00309039,5.5052
0.14,-58.2394,3392.1,0.666562,19.9951,0.00483886,18.9971,0.00287916,19.8,0.165942,13.7417
0.15,-58.0575,3370.83,0.666605,19.9899,0.00997349,18.9933,0.00660578,19.9484,0.0515349,6.95349
0.16,-57.5517,3313.03,0.666338,19.99,0.00991225,18.9752,0.0251374,19.3723,0.625596,32.2386
0.17,-56.6682,3212.04,0.666357,19.9674,0.0325606,18.9741,0.0252292,19.1595,0.793918,25.9307
0.18,-57.4822,3304.68,0.666477,19.9761,0.0233645,18.9541,0.0487818,19.5923,0.284121,14.6377
0.19,-56.4745,3190.27,0.666296,19.9246,0.0793148,18.9557,0.0423261,18.9284,0.822059,24.8664
0.2,-56.6068,3205.48,0.666196,19.9416,0.0569563,18.8855,0.11614,19.1349,0.814888,28.6323
0.21,-56.7861,3225.9,0.666165,19.9309,0.0699217,18.9105,0.087484,19.1537,0.817025,28.0989
0.22,-55.6728,3101.63,0.665748,19.856,0.149228,18.8468,0.156604,18.2193,1.63282,44.8148
0.23,-55.8883,3125.7,0.665743,19.8814,0.12745,18.7766,0.246206,18.544,1.53831,41.67
0.24,-54.7909,3005.31,0.665254,19.8186,0.17386,18.7676,0.247809,17.705,2.64737,56.7041
0.25,-53.3002,2843.9,0.665294,19.7346,0.271682,17.5384,0.442099,17.5461,2.1618,47.8523
0.26,-53.311,2846.98,0.664424,19.5641,0.453836,18.4855,0.560964,16.8445,4.17264,72.7409
0.27,-52.7244,2785.69,0.663935,19.4842,0.622626,18.4093,0.66258,16.4302,4.27416,79.9213
0.28,-52.3203,2744.93,0.663098,19.5366,0.487386,18.3726,0.692138,15.8312,5.84416,95.8889
0.29,-49.2698,2434.36,0.662975,18.0666,0.97865,17.6027,1.4449,15.4051,4.78654,81.3461
0.3,-49.3873,2447.71,0.662165,18.1715,0.878805,18.0568,1.06129,14.9118,7.18946,95.7065
0.31,-46.3392,2162.11,0.657593,19.0434,1.17329,17.9071,1.22312,10.5541,14.8341,153.924
0.32,-44.9758,2037.19,0.657324,17.767,1.2405,17.9482,1.13364,10.595,13.765,140.24
0.33,-41.2849,1717.3,0.656314,18.827,1.26215,17.5387,1.55838,5.54735,13.4003,118.04
0.34,-41.677,1760.36,0.647735,18.7543,1.40391,17.4389,1.76374,6.20296,23.1056,202.357
0.35,-40.4536,1653.91,0.651772,18.5034,1.78676,17.2874,1.94567,5.28494,16.4325,142.126
0.36,-38.5862,1500.12,0.656024,18.3953,1.7327,17.0896,2.12611,3.48146,8.60433,86.6036
0.37,-38.5276,1496.08,0.655624,18.2542,2.02798,16.8162,2.55076,3.92362,8.84584,85.4752
0.38,-37.5985,1423.54,0.656956,18.074,2.20438,16.7398,2.49218,3.14036,6.26104,68.5088
0.39,-37.1282,1387.29,0.658026,17.8614,2.41217,16.5156,2.84481,3.10288,4.95929,57.7499
0.4,-36.2365,1320.81,0.658944,17.6585,2.80596,16.3482,3.03202,2.50999,3.41635,48.2922
0.41,-36.0559,1308.87,0.657607,17.6161,2.6013,16.0823,3.57476,2.66189,3.87479,52.6081
0.42,-35.4925,1268.36,0.65761,17.435,3.099,15.9429,3.45603,2.38394,2.61078,49.0213
0.43,-34.9133,1227.71,0.657396,17.1459,3.31353,15.7233,3.97196,2.29656,2.27801,47.4206
0.44,-34.4762,1197.34,0.657265,16.979,3.77971,15.5941,3.89387,2.13488,1.51271,45.0864
0.45,-34.0456,1168.7,0.655942,16.7849,3.84006,15.3874,4.34549,2.09245,1.7822,47.3944
0.46,-33.3512,1122.3,0.6551,16.5832,4.22372,15.0488,4.86544,1.91674,1.43983,47.2412
0.47,-32.9044,1093.73,0.653728,16.2765,4.61866,14.8951,5.18451,1.93075,1.14828,49.9474
