Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-90,8100,0.666667,30,0,30,0,30,0,0
0.02,-89.9997,8099.95,0.666667,30,0,30,0,30,0,0.125352
0.03,-89.989,8098.02,0.666666,30,0,30,0,30,0,2.03166
0.04,-89.9618,8093.14,0.666666,30,0,30,0,30,0,3.89644
0.05,-89.9124,8084.25,0.666664,30,0,30,0,30,0,6.20832
0.06,-89.8396,8071.19,0.666662,30,0,30,0,30,0,7.43558
0.07,-89.766,8057.96,0.66666,30,0,30,0,30,0,7.9031
0.08,-89.6834,8043.16,0.666658,30,0,30,0,30,0,8.54177
0.09,-89.6069,8029.46,0.666656,30,0,30,0,30,0,8.02716
0.1,-89.5063,8011.45,0.666653,30,0,30,0,29.9987,0.00129831,8.14405
0.11,-89.4332,7998.4,0.66665,30,3.33322e-05,29.9995,0.00049975,29.9993,0.00069951,8.31218
0.12,-89.36,7985.32,0.666646,29.9985,0.00149775,29.9959,0.00412451,29.998,0.0019628,8.43491
0.13,-89.2721,7969.64,0.666644,29.9995,0.00049975,29.9976,0.00236107,29.9935,0.00742485,8.09324
0.14,-89.1715,7951.73,0.666639,29.997,0.00299928,29.9961,0.00392613,29.9884,0.0115061,8.51418
0.15,-88.4237,7819.11,0.666607,29.9936,0.00638372,29.9914,0.00857518,29.7471,0.199812,15.7028
0.16,-88.7177,7871.34,0.666582,29.9884,0.0114573,29.9861,0.0147068,29.7013,0.292962,19.6905
0.17,-88.2371,7786.26,0.666584,29.973,0.026585,29.9801,0.019456,29.459,0.29027,16.718
0.18,-87.603,7675.07,0.666531,29.9683,0.0336951,29.957,0.0424615,29.2476,0.576907,24.2649
0.19,-88.0494,7753.65,0.666505,29.9506,0.0499972,29.9484,0.0499599,29.4544,0.557821,26.254
0.2,-87.6592,7685.43,0.666445,29.9262,0.0703465,29.9341,0.06755,29.1872,0.764541,32.2979
0.21,-86.7117,7521.34,0.666242,29.901,0.0979822,29.8917,0.103575,28.5781,1.7537,54.8653
0.22,-85.9253,7385.82,0.666193,29.8683,0.135832,29.8563,0.149991,27.94,1.98564,55.0925
0.23,-84.4035,7128.7,0.665788,29.7458,0.260632,29.7851,0.228508,26.8841,3.46987,89.9199
0.24,-84.8011,7196.05,0.66579,29.7406,0.287312,29.7236,0.29394,27.2388,3.17797,83.6129
0.25,-83.0944,6910.27,0.665603,29.6477,0.370353,29.5418,0.483216,26.0151,4.30476,89.5721
0.26,-82.3798,6791.98,0.665589,29.5813,0.460584,29.4364,0.585152,25.5611,4.3375,82.0041
0.27,-80.9883,6566.8,0.665132,29.0581,0.915234,29.2663,0.770996,25.0123,6.19726,105.619
0.28,-79.5301,6333.47,0.664918,29.1988,0.919037,29.3247,0.725598,23.3805,6.65477,107.504
